,latitude,longitude,free_bikes,station_id
0,51.343658,12.378786,28,38328325ed409ad3aa15f5f2ca5c6bb5
1,51.37549,12.378652,5,c8b3089dfd591e99755a8658b68c794c
2,51.353337,12.303199,0,75cd0e7dc2103417a5fff8db4afdcc7f
3,51.35002,12.291401,4,0d2dd8f9c14b8bb831dab22b08801637
4,51.326737,12.358117,0,9b72a8c44ac030773b81a8ccfd4f66d6
5,51.344577,12.379628,4,7c60036882597fe53149fd6904d67eee
6,51.345639,12.379167,3,6447cf1bde67a18d21aad8b5b824042d
7,51.368291,12.386329,6,ec76513e1cffc53d2ed44102ec638d5e
8,51.331342,12.358439,1,c43d756f93c14cdafdd2cc41d9d9a8b1
9,51.320595,12.385991,0,ad793010fee89933dc2be2dd8859c495
10,51.351415,12.432007,10,c4e2763470d4b2e18b1e23393d3c6c02
11,51.383607,12.379763,9,846ead93e7cb592e605a730081cbe88e
12,51.384759,12.376131,6,2e10cee7eb703b755ca3e526b6687d22
13,51.382837,12.377086,0,391cde34ed934ad80bab4ccffc099683
14,51.385067,12.378051,6,692a9a571d57ab5691a0f1984cb23696
15,51.343813,12.381495,5,5c419c155377adca78f71ced71212503
16,51.322889,12.28723,3,c7a66e82a77839d5506c35378c02f0cb
17,51.351505,12.407074,2,eb77444e193a144b1d9e02946b098bf5
18,51.342214,12.359287,1,029e51f146d9faa603c7e250c7bcbd08
19,51.336155,12.37502,1,469ea6e4c0673b4e12eef345eab92ff7
20,51.347388,12.353402,0,811b5adbe639708e843188a3373104a0
21,51.34326,12.372462,1,68f421f4736eb59414a8072cb43849ac
22,51.339064,12.380031,3,8da2b12c53db3a4313c6690e52a3b706
23,51.345217,12.392192,0,dac73ff47737501351bc767c9f687789
24,51.331718,12.405657,0,36ad309361ed1673b5e44396acd6db0c
25,51.31451,12.410012,2,e2306496ed6e749a962957cfc7ae788c
26,51.32203,12.373781,4,41a513b0dadfb3d88ff0fd9170810619
27,51.330471,12.374876,1,76e611539867803f5249fc12f20652d6
28,51.326107,12.388651,1,a821e64b9f98ef0f39effdf961179773
29,51.310369,12.372912,0,e117574e3353cf49900a68cfa2b1dcc5
30,51.367775,12.366829,1,896a245cc9250310427baba13db6dbac
31,51.345548,12.406418,1,2c6d632676959084b8cd11cfc027add1
32,51.345461,12.414701,1,15fd357f894dde1935d00d45379ac098
33,51.324316,12.412888,1,06a89b9f0e1d6dd30f8d2043981901b8
34,51.348581,12.371871,4,6502ce5803f94fa4ee6a384106de97eb
35,51.352531,12.373492,0,25442e3c6152fdc4ab131cc6be7f6a4a
36,51.363116,12.362178,3,1d924f19e6a122e9d83f6b2b0715e71b
37,51.356407,12.415967,9,64f41f1a5b0a01a48a58d242ed9eba99
38,51.344905,12.419175,2,54627974df9b654fb89b7665b3bfe546
39,51.318674,12.34101,0,e8e9d2c91b3b0ee469330687b421c243
40,51.324065,12.344003,1,01d8e0e16dbc6d71e3f585b6d881f13e
41,51.341189,12.324257,3,186117c8dedd7d272a35315cfe94580e
42,51.337814,12.340361,11,47dcb79a2a193e4da69388b88adc799e
43,51.332164,12.362441,1,9a1b8ab4fe4640c1066eceb14f85bfeb
44,51.329475,12.336901,0,68c12df4a0d07ba35236da2d8332391a
45,51.33147,12.333789,0,43df71ddb9e0068a5097a9636cbb2af0
46,51.332465,12.338639,7,93c217ab487a13712481f92b28fd746d
47,51.337362,12.334068,0,9c606c4a70117afbc411063a3cdbd4a3
48,51.340512,12.368841,4,2376fa75e572840caea79592b79d9918
49,51.338729,12.362505,1,f6aa343fd39378f0343bcaa2d9e35e09
50,51.340884,12.375187,5,2d79e03d67f5daf8310a6da3883f8009
51,51.320511,12.383013,0,8be18522a74d2f02df5a2615578329b3
52,51.362982,12.373561,0,35f36862bcce18d220e3ea7cfcd715a6
53,51.33892,12.402824,3,a09846429e14abff0972e450773ecefd
54,51.335619,12.407663,1,56fc231a5518c3c704cf907d6bd941fd
55,51.359442,12.292821,8,e37922365370987e52f205e178ea6b58
56,51.32793,12.319933,0,487187230f3486ae7f23ec7afb4c735f
57,51.325815,12.314928,0,8fca50a1ab981d6df6c06ae1c388a444
58,51.295085,12.386184,1,982b9940caf51d08c54fa728c4245270
59,51.30605,12.396687,0,69fd8afab8afdc0f8f826b8f11ef8f65
60,51.332308,12.395432,0,07f22b3aad9b64f876ace1bd2e8d702a
61,51.335029,12.388759,0,a16a2876a0368d96239920e47b926a38
62,51.346001,12.398635,0,511526c3f3ac9549d9efc9f1fdf977e3
63,51.348168,12.405973,2,c9c96f44182d2d9066c8581b134674d4
64,51.31401,12.342668,0,48b490255aead66dabcccf28cf5ec78d
65,51.327799,12.345666,1,a2fc3c0ce2b4e31d28cbc162aa14b96e
66,51.347374,12.314665,1,d590ba5b47f597d75c9f553237684422
67,51.33048,12.3797,1,e79b432cfb8695fbc87029d78ce2c999
68,51.32466,12.3733,2,6aca45251ef1ec8bca03f05aa3a332ec
69,51.32059,12.37861,0,1d0aff89d7f139aa89f0d1f3d68ab89e
70,51.31769,12.36867,1,29dda8b44a2f33b1fe7f8f309c2d5103
71,51.31168,12.37235,2,4f0258e098a518c169c7a7b2e05418ce
72,51.36638,12.36625,1,d387cadb5d863c0faa50dff63b367025
73,51.32904,12.32808,4,3f2494716b5a993f295333c5ed002d79
74,51.33665,12.37481,6,15bc2fc4c2b446a6ca77564c2c95f90f
75,51.323876,12.321425,0,7f687e15aa2dddf84768848f0da9a975
76,51.300885,12.396634,1,f0332ddbc095cac00f4e1c0e95d56cce
77,51.344114,12.383013,10,889445c0269aeaa4eed138f0eb43d66d
